calories,protein,fat,carbs,fiber,sodium,vegetable_portions,legume_portions,grain_portions,fruit_portions,meat_portions,dairy_portions,processed_food_portions,fermented_portions,PUFA,cholesterol,vitaminA,carotene,vitaminE,vitaminB1,vitaminB2,vitaminB6,folicacid,vitaminC,potassium,calcium,magnesium,phosphorus,iron,zinc,plant_protein,nutrient_score,fruit_or_vegetable,animal_product,injera_sum
12549.9,301.275,278.5517857,2328.180357,146.5017857,3969.530357,4.375,2.625,16.625,10.625,0.25,5.625,5.875,13.125,69.50357143,372.325,3186.85,6.7,50.68928572,3.65,6.0625,3.676785715,323.2517857,499.75,18920.8375,2812.433929,463.7982143,8667.192857,508.3928571,56.20357143,9.725,65.6875,11.875,6.5,10.625
12332.0875,363.4125,254.6,2245.025,127.3,4008.05,10,2.25,16,4.5,0,7.25,7.5,16,79.55,696.5,6944.45,6.2875,56.95,3.675,6.35,4.037500001,437.725,511.575,16650.7,3196.775,505.55,10180.325,309.4,57.3375,15.9625,74.375,13.5,9.75,15
14350.775,406.975,288.5375,2665.2,213.2125,4870.9125,15.625,5,12.5,19,1.875,7,3.5,16.25,51.1375,822.7625,9369.575,18.7,64.5125,5.2625,8,7.1375,851.75,1168,28395.4125,4289.0875,989.6,10847.7125,525.9,66.7875,27.9375,89.5,29.625,9.875,10.25
14425.625,405.725,261.8392857,2791.492857,217.4142857,3915.492857,11,3,17,4,0,7.25,6,22,69.37857143,531.5,7009.15,6.2,54.56428572,4.9,6.7,4.314285715,431.3642857,588.8,24870.725,4903.871429,583.8357143,13063.76786,1005.342857,81.22857143,15.9,70.5,13,8.25,15
5769.825,141.2375,178.3696429,953.7464286,74.01964286,1914.308929,6.75,1.25,4.625,7.875,0.875,4.125,4.5,5.75,54.17678572,410.4625,4667.9375,4.15,48.08214286,1.25,3.4625,4.719642857,304.2696429,444.9875,8787.275,1693.585714,400.3678571,3635.071429,184.1214286,24.27678572,15.55,56,14.125,5.625,4.125
17378.1625,502.35,444.925,3025.05,258.1875,9596.825,15.75,8.5,22.5,11.5,0,7.25,12.875,16,91.6625,1356.5,11338.975,16.2625,73.525,5.85,8.425,7.687500001,831.175,1050.5375,27846.025,5239.55,945.425,14269.15,1061.4875,95.8125,25.9,94,24.5,9.75,15
12467.125,285.0375,278.05,2299.375,147.3375,4362.8,17.5,2.625,9.25,6.75,1.25,2.625,10,15.625,89.125,471.3375,5546.5625,1.55,66.2375,2.2625,4.625,5.075000001,623.3,693.5125,21413.525,2765.3875,594.0375,7627.3375,331.0625,45.975,22.45,62.125,19,4.875,8
15415.375,343.85,433.4375,2626.675,174.0125,4653.825,16.125,3,14,15.875,0.25,7.625,14.625,13,82.2125,1348.575,10145.5,9.95,64.675,3.9,7.0875,8.012500001,839.075,1207.4875,24407.4125,4358.95,1005,9086.6125,337.5125,56.775,28.3625,76.3125,27,8.875,8
12348.425,298.875,251.4375,2324.1875,149.5875,4353.55,10.5,3,11.875,8.5,0,7.25,7.5,16.625,80.725,399.5,7630.675,6.55,60.625,3.5,6.3375,4.950000001,539.325,961.45,18604.225,3749.575,659.65,8362.425,353.0125,49.4125,19.15,76,17.75,8.25,9.625
12413.75,293.55,272.3125,2290.6,130.4375,4362.025,4,3,11.875,6.125,0,7.25,9.25,16.625,80.125,531.5,3559.925,6.875,53.575,3.2,5.4625,4.150000001,428.9,443.1375,16588.875,3422.575,568.475,8257.9,350.0875,48.7125,8.45,72.125,9.125,8.25,9.625
9743.5875,226.4,267.1678571,1702.578571,123.4553571,3966.953571,9.25,3.125,8,10.125,1.25,3.75,2,14.625,55.08571429,415,5543.2,0.8625,53.53035714,2.3125,4.9375,4.380357143,360.1553571,820.1875,16250.5125,2654.301786,407.9821429,6262.066071,264.6910714,41.79821429,22.3,63.875,17.75,5.625,7
8877.5375,219.7375,238.6428571,1551.866071,126.4678571,3944.028571,12.125,3.5,10.25,9.25,0.25,5.625,4.5,8.375,49.49821429,666.325,7761.05,7.075,54.28035714,2.35,4.5875,4.105357143,434.2178571,951.4375,16797.275,2929.314286,491.8821429,6469.903571,434.9035714,44.37321429,19.9,72.5,18.25,6.875,5.25
8380.375,214.1125,211.4392857,1503.005357,124.7892857,5323.630357,12.125,6,7.75,7.25,0.25,1.875,2.25,10.25,47.82857143,634.075,6332.725,7.1875,52.37678571,1.8625,4.0375,3.351785714,364.7142857,536.6875,17278.1,2571.908929,324.6482143,6434.017857,428.6678571,42.75357143,19.775,70.0625,16.25,4.625,5
14529.475,489.35,296.8857143,2605.257143,209.6982143,8137.019643,14.125,7.5,16.625,15.25,2.5,6,1.375,16,47.07142857,524.45,6056.5375,8.675,53.48571429,5.975,7.75,7.598214286,888.9607143,914.3,28151.3,4458.678571,999.5267857,12447.49464,787.3321429,91.25892857,28.3625,91.5,26.875,9.5,11
16502.4625,383.675,440.5,2860.8125,172.5125,6397.6,19.125,4.5,12.75,6.25,0.625,8.25,15.25,13.875,91.1,1385.5875,10940.675,16.975,68.2,3.325,7.2625,5.875000001,645.9125,740.6875,28028.375,4604.9875,871.5,10471.5875,428.9375,64.2,19.15,82.25,17.375,9.875,8.625
11151.325,266.3125,280.6732143,2003.469643,145.6482143,3567.732143,8.75,1.875,10.625,12.25,0.25,8.5,1.5,16.625,50.63392857,528.275,3985.275,5.125,51.93571429,3.35,6.0625,5.423214286,506.6107143,550.5875,19731.0625,3770.491071,551.5392857,8308.582143,509.0696429,52.82142857,19.45,72,17.875,9.75,9.125
9587.3625,244.2375,251.8821429,1663.246429,128.6446429,5534.046429,5.75,4.125,6.875,14.875,0.5,10.5,3.125,13.75,58.91428572,354.85,5005.975,4.75,56.50714286,3.425,6.2875,4.782142858,504.7071429,1621.4625,17295.175,3701.710714,603.3303572,6625.308929,174.7464286,37.33928571,17.95,74.1875,19,11,6.25
16023.25,443.5375,373.6267857,2859.305357,208.9017857,8578.905357,15,7,13.125,21,1.5,7,11,17.5,88.59107143,784.15,9452.25,16.9,74.68928572,4.8875,7.9,7.051785715,1044.289286,1122.2125,28968.2125,4452.133929,949.0357143,11459.25536,427.8803571,70.44107143,26.25,94,31,9.5,11.5
21606.2,621.25,415.7696429,4030.221429,287.3071429,10649.79643,18.5,7.5,20.75,20.5,1.5,7,12.5,19.75,69.73928572,1116.275,7690.55,10.45,67.05714286,6.8375,10.4125,7.907142857,1258.957143,1232.25,39652.2,5619.010714,1209.092857,17108.87143,828.3589286,107.6642857,27.8,93.5,31.5,9.5,13.75
8639.125,245.2,157.6303571,1649.741071,117.3428571,4925.041071,9.875,5.625,11.25,4.25,0.25,0,2.5,11.625,45.41071429,344.075,6034.475,6.075,49.39285714,2.1125,3.825,2.092857143,236.0428571,760.2125,12359.9,1534.939286,243.4321429,6772.528571,224.8785714,40.83571429,15.55,52.5,13.25,1.25,10.625
16951.1375,443.825,335.6642857,3231.942857,233.6517857,8687.492857,6.5,7.75,19.5,13.875,1.125,10.5,8.5,26.75,70.26607143,790.6125,5348.7375,7.8,58.12678572,4.3,6.475,4.676785715,446.0892857,600.0875,23177.75,4059.908929,559.4857143,13112.90536,866.4053571,85.46607143,16.4875,90.25,19.875,12.625,17.25
13345.75,317.7,349.7428571,2358.203571,198.0678571,4122.928571,17,3,11,30,0.5,9,3.25,10,64.61071429,437.575,10135.975,7.9,69.61785714,5,8.775,10.56785714,844.5928571,2145.75,29309.875,3727.314286,1025.082143,8768.878571,335.8285714,53.81071429,38.8,75,39,9.75,9
21562.85,515.6,557.325,3855.325,303.65,4707.575,9,1.25,22,25,0.5,7.25,14.5,28,101.05,1354.95,10808.3,3.9,80.55,6.55,9.925,8.100000001,722.45,2010.6,31783.825,5501.925,883.875,16036.975,1078.275,102.05,32.8,72.75,32,8.75,21
9050.8625,193.0625,127.6553571,1894.016071,123.2678571,2586.478571,13.25,1.625,9.5,5,0,0.625,1.25,13.5,43.26071429,243.7,5477.375,0.5,47.96785714,1.65,3.275,1.992857143,218.6178571,477.25,17108.55,1996.826786,208.1071429,6585.141071,468.8285714,41.91071429,14.85,42.25,13,1.625,8.5
8284.425,219.8625,191.7571429,1510.821429,118.3321429,5204.008929,6.875,6.25,9.75,9.625,0,1,4.125,9.5,35.92678572,646.45,6471.275,4.275,33.53214286,2.55,4.2375,3.669642858,378.4946429,562.3,11326.225,1413.635714,352.3553572,5759.246429,253.6839286,36.23928572,16.8,63.6875,16.25,3.5,8.5
18913.0625,532.175,474.0392857,3279.817857,265.3392857,7740.130357,12,5,15.25,26,1,7,17.5,19,100.2285714,1081.2,9750.4,17.7,74.16428572,7.1,9.4,9.414285715,1294.676786,1602.0125,33439.55,4940.071429,1346.448214,13464.83036,616.4178571,83.20357143,29.65,85.5,33,9,13
14803.7375,463.4875,321.3821429,2652.658929,200.6446429,5435.996429,12.625,3.5,13.75,18.5,3.5,6,8.5,15,64.90178572,893.75,8405.65,15.65,56.20714286,5.175,7.4125,6.544642857,815.9821429,1075.95,27281.275,3779.935714,849.1678571,11677.52143,525.6214286,79.05178572,22.3625,87,25.125,10.5,12.5
17969.3625,520.0625,444.2196429,3122.283929,248.4696429,6934.696429,15,5,15.375,22,2,7,11,18.75,83.87678572,1153.7,9321.65,18.45,76.73214286,6.3625,9.075,8.769642857,1234.419643,1181.2,32541.6375,4918.623214,1232.355357,13435.27143,563.7589286,82.30178572,29.75,90,32,10,12.75
17341.35,382.35,496.0178571,3063.728571,286.6678571,4725.078571,10,2,15,28,0.25,7.25,8.25,22,70.78571429,1340.3,11780.025,8.3,73.79285714,5.25,9.575,10.31785714,785.1178571,1948.575,26505.875,5145.064286,907.3321429,12161.40357,1026.003571,82.63571429,37.5,74,37,8.5,15
20051.325,483.775,548.725,3451.1125,253.6875,5271.4,10.25,2.25,19,37,0.25,7.25,14,23,101.3375,1336.875,12635.7,13.1875,87.2625,6.0625,9.7875,11.725,927.275,2600.3625,31665.1,4971.675,1375.55,13681.525,458.025,81.55,42.625,74.75,46.25,8.5,16
20257.7875,517.925,558.8625,3512.35,309.8,5299.2875,11,2.625,19,30.25,1.125,7.25,14.5,23,103.75,1398.8625,12351.6375,9.1375,84.425,6.7125,10.0375,12,1007.3,2063.6125,33222.9625,5916.6,1145.6,15512.975,1123.075,101.5,39.925,79.375,40.25,9.375,16
23193.075,629.3,603.4,4058.7,351.15,6864.675,13,4.5,25,32,1.5,9,16,24,108.575,1436.275,12592.225,10.1,87.775,8.125,12.325,12.8,1160.675,2227.05,35482.9,5916.725,1348.1,17687.6,1184.7,119.125,43.1,86.5,43,11.5,22
19863.675,469.275,554.375,3405.7125,239.9125,5284.225,12.25,2.25,18.25,31,0.5,7.625,14,22.625,102.0375,1360.875,12298.875,9.675,83.425,5.775,9.8375,11.7875,938.025,2109.1125,30782.0875,4867.575,1109.85,13238.6375,418.125,78.6625,41.8625,75.75,41.625,9.125,15.625
21008.725,476.125,548.175,3702.3,251.575,5168.275,23,2,18.25,22,0.25,7.25,15,23,99.825,1336.875,10722.4,8.9,94.475,5.65,8.925,8.825000001,1512.575,2008.8,36863.475,5622.85,949.875,14418.45,508.825,83.625,34.5,74,37,8.5,16
10400.1875,253.7125,181.9803571,2046.953571,135.4428571,5353.116071,16.125,5.875,9.625,6.625,0.25,3.5,2,13.5,45.19821429,420.075,7196.425,7.275,53.81785714,2.025,4.1375,2.755357143,351.4428571,584.2625,20413.375,2457.214286,325.6071429,7664.378571,324.4160714,46.16071429,18.35,68.75,17.125,4.75,8.5
11635.875,325.1375,81.20535714,2512.378571,148.4428571,3123.978571,9,2.625,17.625,6.5,0,0,1,22.625,10.73571429,0,5863.8,6.4,13.64285714,3.525,4.275,3.692857143,319.2428571,567.8,17595.125,2227.339286,398.9571429,9658.878571,378.5160714,55.12321429,17.9,35.375,15.5,0,15.625
