model,accuracy,no_info_rate,sensitivity,specificity
microbiome,0.8333333333333334,0.5185185185185185,0.8076923076923077,0.8571428571428571
metabolome,0.7037037037037037,0.5185185185185185,0.6538461538461539,0.75
nutrients,0.7592592592592593,0.5185185185185185,0.8076923076923077,0.7142857142857143
full,0.7962962962962963,0.5185185185185185,0.7692307692307693,0.8214285714285714
