model,accuracy,no_info_rate,sensitivity,specificity
microbiome,0.7037037037037037,0.6666666666666666,0.5555555555555556,0.7777777777777778
metabolome,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.9166666666666666
nutrients,0.5740740740740741,0.6666666666666666,0.2777777777777778,0.7222222222222222
full,0.7777777777777778,0.6666666666666666,0.5,0.9166666666666666
