model,accuracy,no_info_rate,sensitivity,specificity
microbiome,0.8333333333333334,0.5925925925925926,0.8181818181818182,0.84375
metabolome,0.6666666666666666,0.5925925925925926,0.45454545454545453,0.8125
nutrients,0.6296296296296297,0.5925925925925926,0.4090909090909091,0.78125
full,0.8148148148148148,0.5925925925925926,0.7727272727272727,0.84375
