model,accuracy,no_info_rate,sensitivity,specificity
microbiome,0.6296296296296297,0.5555555555555556,0.5416666666666666,0.7
metabolome,0.6851851851851852,0.5555555555555556,0.5833333333333334,0.7666666666666667
nutrients,0.5185185185185185,0.5555555555555556,0.4583333333333333,0.5666666666666667
full,0.7407407407407407,0.5555555555555556,0.625,0.8333333333333334
