"InChiKey","Name","PubChem_CID","KEGG_ID","622","628","632","634","638","640","642","644","648","650","652","653","654","655","660","661","666","667","671","672","676","686","688","690","692","696","697","698","699","700","701","703","705","706","712","748","762","767","779","784","802","803","804","807","811","814","815","816","817","823","824","825","830","1000","1001","824m","824s","ClassyFy Status","Kingdom","Superclass","Class","Subclass","Parent Level 1","Parent Level 2","Parent Level 3","Parent Level 4","Parent Level 5","Parent Level 6"
"AAWZDTNXLSGCEK-WYWMIBKRSA-N","D-(?)-Quinic acid","6508","C00296",27215.1203971857,115402.782305597,55564.71575383,205930.597645151,186418.371177204,106615.814602504,119185.788905161,348144.751025359,28438.5331295116,31822.3480701567,45186.4432893637,33758.0162583504,40639.1976873233,45686.0850749977,15066.8342690765,78320.3054161036,47066.3399854493,85884.1100660108,72532.5210448372,15034.968466536,46829.8724184176,156871.286893029,63251.4709430437,91728.20058944,299055.880899319,212953.070507097,44100.4053964275,140238.080109174,64736.6480650526,65594.6195132359,179968.463845611,275110.772890778,204003.925418309,45678.8531525771,74392.320252205,71740.9333845125,544607.769634705,130556.228383029,43552.0567173362,410493.411895595,106120.592786422,124260.817714724,90725.2161813822,332566.432687147,219510.738108612,752513.570520694,313179.091661949,123753.674583629,388490.637303869,88013.7323185913,74768.1175163195,302121.360355359,121706.325396515,48052.0097993031,42519.8091662453,64716.6905912689,351505.399740608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEMOLEFTQBMNLQ-AQKNRBDQSA-N","Glucuronic acid","94715","C00191",3145607.53273136,2039809.55092326,1897071.89593661,1717618.70130082,1361170.01263286,7188808.40144035,5776522.25856633,829343.666223432,4543529.3899058,3306540.45835312,2078209.95561715,554999.760640721,3798109.09645102,2475304.99233674,606741.45554046,2092059.27584387,2779743.51038291,4183919.36225536,5111065.16232361,2432864.94413743,544442.678577941,1595927.01906403,3598996.34934899,2749631.84154901,602576.281630166,4364752.74598912,2450656.59556183,3438723.83410168,4894103.95180889,5725363.77999063,2599841.50462709,2236529.90439138,4032012.88645096,3623745.99434673,7029472.74214439,3837807.01281206,10837758.3417444,4970732.78573174,3394710.67956754,801587.884495994,173370.914320516,1795576.21134382,4157411.7828899,3271675.5714919,2578354.28903347,2106657.64952431,9166862.10557144,4622558.01379475,4023031.94469335,3877440.13096438,431192.542454463,3978346.94470269,313742.55165679,3268318.6123004,1331017.47064313,421598.889286774,3761169.01948893,"Completed","Organic compounds","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates","Sugar acids and derivatives","Glucuronic acid derivatives",NA,NA,NA,NA
"AFENDNXGAFYKQO-VKHMYHEASA-N","2-HYDROXYBUTYRIC ACID","440864","C05984",15039.8219395525,118327.175620148,184015.717871089,50428.8388954474,9466.71425999877,20201.9498007897,12807.3207843521,117578.936645579,25833.1951464807,39100.7579815803,165200.9694248,52120.7923556006,18124.7269010256,45941.5429427845,125785.537039933,48508.2621035219,38826.9523259006,16914.2960010605,38360.6949298105,22848.2945780337,63173.7123670456,16373.3350011576,52695.7079699488,36966.3713931578,70368.146843261,18021.9397994591,55253.5375160241,20323.9374449688,14792.1212559695,24197.6169723813,19903.5219482753,88290.9377985652,14245.6457026476,13780.9058367865,16246.7283951386,78968.5489080992,56477.0154823661,54506.3960807911,133857.072465114,201873.711998576,161425.516247419,141466.172752096,71994.367366823,50183.2820760273,77180.8966583786,178061.928753461,11263.6841623983,24713.9657527444,55943.6974907146,60502.8678659133,99433.0646650382,22487.4685490201,230733.574256572,158131.618245114,48613.1894124154,103030.291022902,88932.7516073089,"Completed","Organic compounds","Organic acids and derivatives","Hydroxy acids and derivatives","Alpha hydroxy acids and derivatives","Alpha hydroxy acids and derivatives",NA,NA,NA,NA,NA
"AGPKZVBTJJNPAG-WHFBIAKZSA-N","L-Isoleucine","6306","C00407",22071794.9539289,20431697.6371923,20970130.0727638,20434812.7994201,23668226.4302276,20337864.8231735,20368826.9584229,16110678.6458181,20875439.9231716,21499353.7497395,19858275.8754318,19796427.6651328,19795014.8060053,19806669.5569062,20314338.6767643,21022252.0961136,22323368.2213245,22051392.5116918,20380349.9094193,18379905.8870355,22584534.1183384,20918345.7380386,21247559.2738656,20875545.6587776,20258300.199137,20989056.495292,19794006.4111822,22611150.983386,19850547.2670414,18915044.3632497,21122068.3496504,18212833.3778777,12774185.5904937,13730892.5983574,21061615.61907,22164487.2352091,22097345.4706295,20633928.2417652,20151226.8192042,21717805.3352625,21811466.1997635,19756156.1576193,20463151.7583845,20721750.1790198,20477874.4906827,20115203.8202884,19195159.5940259,21639130.61124,18411020.1526625,20801459.1553137,22442282.0423169,21166466.7464668,24289273.621201,20527503.5199847,20654505.9849964,22597523.4390824,20439355.9923363,"Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Isoleucine and derivatives",NA,NA,NA
"AHLPHDHHMVZTML-SCSAIBSYSA-N","ORNITHINE","71082","C00515",482238.243132329,245094.861978733,324056.356503593,197878.779370403,171159.562897645,240013.576891515,173033.480923524,348311.765900403,207610.022339859,68172.2120177867,254632.03351968,152612.419505171,244917.161437075,200539.716189508,307411.910499793,287558.235732989,241037.489787381,204892.013328204,188169.961220646,151625.409157801,249218.027115424,254196.202044159,222637.603583347,259518.727581342,65120.1160292834,314389.314004586,78135.3375082551,166317.63622976,259958.900905886,142620.623236385,203906.422034869,282129.673014583,16135.354823865,28479.5017053713,314422.088391117,273984.333630193,370034.993585335,203881.353961649,408248.252259741,348275.202382139,107500.376092525,400025.786240431,191163.778330958,387475.067308688,315611.178168341,287046.308721337,119726.464005968,305582.025975396,189626.173647136,161408.465197319,105025.766529076,320301.221951624,532762.994174721,218668.161913894,74252.877462531,106751.028723638,326789.701220985,"Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","D-alpha-amino acids",NA,NA
"AJMOLNFDYWTVQW-QWRGUYRKSA-N","L-Leucyl-L-leucine methyl ester","7016877","0",18542.3434793644,53327.8218258016,81079.549811392,166313.839340049,27865.1868852485,68508.8901628034,74447.8132276022,74131.516805744,48598.8944645562,107237.336231009,99122.0587570795,75374.0629817545,50783.0693597984,112756.597624674,45471.5749436777,97784.3480297137,57908.2429271705,34529.153890098,54187.0995494357,69628.2597491918,58628.7649096864,147457.697964068,87470.1196856405,69315.8918333241,47411.9828726363,58364.2318779914,24049.6125025409,95728.8242377545,115812.349514075,45816.0594897995,59127.0214925882,56445.2911326065,31885.5246231603,27748.0561858006,21808.5675638121,49900.5544910939,28978.3628327012,55590.3914762903,26208.9921087731,26385.09901429,102505.604695327,64160.8143678737,79726.0446808497,66799.5242491045,30927.4597924278,33320.0421357089,41068.7462643687,72303.3029280029,167000.201267331,64976.7671995238,158874.334954558,69716.6066122644,40067.139332032,81292.5721525987,37887.380265008,101431.518164424,68824.1478413773,"Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Peptides",NA,NA,NA,NA,NA
"AJWAPHOSPGHEJW-UHFFFAOYSA-N","1-(4-Bromophenyl)-2-(9H-purin-6-ylsulfanyl)ethanol","3065082","0",3923.86749822134,13946.6598612506,5327.59201549405,9228.98549503282,20879.8418966619,22464.7349745668,15623.187468617,17404.2664132232,18789.4545712091,19514.6428576017,8338.46297507215,19614.146672735,17101.5077747745,11603.747881104,9172.70609390329,7419.54568682555,7405.93903103771,14423.5209232167,20981.3758961511,14581.9471333518,9121.73606131248,14944.0266187569,16741.2904829165,26127.9621228251,6297.09131116582,34373.9863408662,19124.0800887954,10890.8740243551,16918.6114630859,9841.68364035538,12063.8914578768,15358.5767921275,19225.6166563833,24437.2909420821,18767.9281196967,13545.0994362345,4247.96294010399,6975.61674591736,2150.91232545306,5866.41226147779,3973.05955528125,13769.7408048546,8362.84395441491,10299.7929188792,9053.20489845311,909.867233441787,12739.0525642248,14250.941700317,9957.75299131734,6308.28404483848,6859.43186010715,30989.8079031822,1745.27441217076,3391.44571960529,4340.94138524047,5355.81320702922,14091.1986593558,"Completed","Organic compounds","Organoheterocyclic compounds","Imidazopyrimidines","Purines and purine derivatives","6-thiopurines",NA,NA,NA,NA,NA
"AKCIMWNRRUVYMQ-UHFFFAOYSA-N","2-[(2-Methoxy-2-oxoethyl)amino]benzoic acid","818219","0",21251.299894599,47505.421270295,21956.0584211356,35346.2309110057,3754.96198255197,2181.84001308917,13144.5580056461,4928.78788978419,35532.1677710695,43977.1569153991,41230.168366289,17420.6245056689,2990.57385532126,52049.5405615678,98102.402931693,2974.0794947191,21398.2592750774,5457.85135167564,7571.58334559361,61551.4745602298,12198.7900205748,31483.3075827641,14542.5194755864,26206.5921553824,19150.0721958891,41506.6624551702,28189.4846444387,72435.3283407577,14165.4696383527,1424.4187813264,3206.17487003795,23511.9357694175,21205.1735470263,21321.4014833301,17391.0867302782,15574.0228410484,12492.9265804234,47767.8527431616,26008.8004963937,34278.3466950701,11268.6096233828,45691.8743007268,19622.1956823475,18610.0950393515,30290.7983444484,1275.63646462511,1861.14889302579,43534.4589013091,31109.383406291,32370.4602571203,61744.9695783888,43492.7359270598,34377.8302163827,24330.722756955,14723.7812639798,51878.2202539787,2489.1310335917,"Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acid esters",NA,NA,NA
"AOHCBEAZXHZMOR-ZDUSSCGKSA-N","Hypaphorine","442106","0",11671.5768527109,16759.2082370815,187673.851872423,26232.4641031925,21133.6446633198,7441.74894960336,1131128.85560826,16929.2300937874,10642.0526217018,57959.5204227365,32475.0472014205,35492.5485406064,9683.00619859459,13310.474026882,5362.33185565435,5404.33311655956,454126.566691716,11466.0526909369,18909.7451555263,81358.0844289614,201006.84518241,49616.08292315,6520.55500744349,29476.5669385969,105102.254943769,10189.2568475796,49727.7204597993,14600.5735157988,45385.499027747,12332.588026651,19741.8396404395,13235.214738756,13114.6329793972,49960.6722100811,11247.7006755835,34168.3599717342,1904612.549904,19784.1818345758,6049.36065053994,10017.4778169721,7189.40216470011,22249.579680275,7369.72264417656,5888.59315624465,13337.3244143882,8225.32697883024,192646.255236862,5057.58341521538,12099.3724810147,7667.84618907529,10209.7070860864,11249.0418132109,6382.8319190951,454578.756935654,34840.0388370055,8761.54680341047,11952.5660708678,"Completed","Organic compounds","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues","Amino acids and derivatives","Alpha amino acids and derivatives","Alpha amino acids","L-alpha-amino acids",NA,NA
