Food,Amount (g),calories,water,protein,fat,carbohydr.,dietary fiber,alcohol,PUFA,cholesterol,Vit. A,carotene,Vit. E (eq.),Vit. B1,Vit. B2,Vit. B6,tot. fol.acid,Vit. C,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc
cheese,30,88.4,13,9.6,5.5,0,0,0,0.2,12.9,65.4,0,0.2,0,0.2,0,12,0,240,30,270,9,180,0.1,1.4
yogurt,150,69.2,134.2,5.1,2.3,6.1,0,0,0.1,7.5,33,0,0.1,0,0.3,0.1,15,1.5,75,240,195,18,135,0.1,0.6
milk powder,10,49.5,0.2,2.5,2.6,3.8,0,0,0.1,9.8,31.7,0,0,0,0.1,0,4,1,37,120,92,10,72,0.1,0.3
butter,20,148.2,3.1,0.1,16.6,0.1,0,0,0.6,48,130.6,0.1,0.4,0,0,0,0.6,0,1,3.2,2.6,0.6,4.2,0,0
oil,12,105.9,0,0,12,0,0,0,7.4,0.1,0.5,0,7.5,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0
honey,20,60.8,,0.1,0,16.5,0,,0,0,0,,0,0,0,0,0.4,0.2,0.8,10.4,1.2,0.4,0.8,0.1,0
sugar,5,20.3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0
soft drinks,200,83.2,179.3,0,0,20,0,0,0,0,0,0,0,0,0,0,2,0,14,2,10,4,2,0.8,0.1
cakes,120,296.6,67.7,4.7,19.3,25.7,1.1,0,0.9,105.6,244.8,0.2,0.9,0,0.1,0,7.2,1,61.2,126,56.4,15.6,92.4,0.9,0.6
hamburger,150,335.2,79.3,31,12.8,23.5,1.5,0,0.6,61.5,34.5,0.1,0.6,0.1,0.3,0.1,7.5,0.7,243,288,15,25.5,199.5,3.4,5.5
pizza,420,1224.7,151.1,46.2,49.4,144.1,9.9,0,17.7,54.6,999.6,5.5,24.8,0.9,1,1.3,600.6,145.7,2011.8,3175.2,495.6,226.8,814.8,10.8,7.1
french fries,30,89.4,3.1,5.6,0.6,15.1,3.5,0,0.2,0,46.8,0.2,0.3,0.1,0.1,0.1,25.2,1.8,497.4,218.7,26.7,38.7,114.9,1.7,0.8
sambusa,100,162.5,,8,10,11,1,,,,,,,,,,,,213,110,,,,,
