"source","target","correlation","direct","cor"
"N.Acetyl.methionine","seq145",0.628906805913062,"undirected","+"
"N.Acetyl.methionine","seq117",0.633193415106238,"undirected","+"
"N.Acetyl.methionine","seq54",0.624007823978005,"undirected","+"
"N.Acetyl.methionine","seq19",0.639317142525061,"undirected","+"
"N.Acetyl.methionine","seq80",0.666261543167879,"undirected","+"
"N.Acetyl.methionine","seq121",0.650952224620823,"undirected","+"
"N.Acetyl.methionine","seq111",0.63380578784812,"undirected","+"
"N.Acetyl.methionine","seq130",0.646053242685765,"undirected","+"
"N.Acetyl.methionine","seq52",0.609310878172831,"undirected","+"
"N.Acetyl.methionine","seq50",0.644828497202001,"undirected","+"
"N.Acetyl.methionine","seq67",0.651564597362705,"undirected","+"
"N.Acetyl.methionine","seq56",0.687082216391875,"undirected","+"
"N.Acetyl.methionine","seq25",0.638704769783178,"undirected","+"
"N.Acetyl.methionine","seq68",0.660137815749057,"undirected","+"
"N.Acetyl.methionine","seq42",0.644828497202001,"undirected","+"
"N.Acetyl.methionine","seq60",0.65278934284647,"undirected","+"
"N.Acetyl.methionine","seq131",0.626457314945534,"undirected","+"
"N.Acetyl.methionine","seq69",0.636867651557532,"undirected","+"
"N.Acetyl.methionine","seq62",0.668098661393526,"undirected","+"
"N.Acetyl.methionine","seq123",0.645440869943883,"undirected","+"
"N.Acetyl.methionine","seq79",0.661356783495572,"undirected","+"
"N.Acetyl.methionine","seq93",0.650339851878941,"undirected","+"
"N.Acetyl.methionine","seq81",0.633193415106238,"undirected","+"
"N.Acetyl.methionine","seq43",0.649727479137059,"undirected","+"
"N.Acetyl.methionine","seq101",0.616046978333535,"undirected","+"
"N.Acetyl.methionine","seq97",0.657674054306734,"undirected","+"
"N.Acetyl.methionine","seq124",0.625844942203651,"undirected","+"
"N.Acetyl.methionine","seq76",0.60624901446342,"undirected","+"
